epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
57,5555.17,0.85537,0.60153,1.24732,0.84767,0.85508,0.86386,0.55662,0.90832,0.48071,1.188,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,5651.36,0.84646,0.59056,1.24445,0.85898,0.85108,0.86076,0.55689,0.91632,0.47955,1.19512,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,5747.28,0.84879,0.58178,1.23881,0.87622,0.84499,0.86005,0.56021,0.9256,0.48488,1.20774,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,5843.33,0.84409,0.58944,1.23943,0.89093,0.85733,0.87212,0.57402,0.8983,0.46864,1.18175,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,5939.67,0.84562,0.58753,1.24286,0.86503,0.85496,0.86768,0.5659,0.90068,0.47005,1.18301,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,6036.01,0.83541,0.58564,1.23739,0.8728,0.85818,0.87452,0.56648,0.90613,0.47033,1.19531,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,6131.77,0.83173,0.58087,1.23276,0.85623,0.85789,0.86497,0.56708,0.89566,0.4685,1.18166,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,6227.9,0.83484,0.58012,1.23578,0.85081,0.86526,0.86825,0.57246,0.90405,0.46932,1.18517,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,6323.86,0.83046,0.57719,1.23363,0.88801,0.85776,0.88108,0.58148,0.91133,0.47015,1.19304,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,6419.96,0.82983,0.5741,1.23373,0.8889,0.8699,0.88989,0.57906,0.9039,0.46209,1.18469,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,6516,0.82726,0.56882,1.23056,0.87861,0.86589,0.87994,0.57929,0.90633,0.46113,1.18928,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,6612.39,0.83078,0.57163,1.23486,0.88873,0.87148,0.88187,0.58142,0.89838,0.45972,1.17974,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,6708.73,0.8199,0.57318,1.23011,0.87406,0.87294,0.87317,0.5835,0.89349,0.46032,1.17687,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,6805.13,0.81303,0.55606,1.22311,0.88492,0.85458,0.86506,0.57469,0.88569,0.45262,1.1658,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,6901.57,0.81684,0.56561,1.21994,0.86997,0.86825,0.87255,0.58104,0.88295,0.45467,1.16438,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,6997.99,0.81904,0.55298,1.22438,0.85714,0.88761,0.8779,0.58462,0.8805,0.45201,1.1622,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,7094.23,0.81836,0.55532,1.21875,0.87951,0.86804,0.87664,0.58408,0.8804,0.44834,1.16374,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,7190.74,0.80824,0.5483,1.2167,0.87423,0.88916,0.89255,0.58927,0.88111,0.44462,1.16422,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,7287.12,0.79804,0.54092,1.21131,0.87182,0.88927,0.88585,0.59126,0.87904,0.44919,1.16636,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,7383.52,0.79416,0.53446,1.21324,0.86926,0.88526,0.88477,0.59143,0.8831,0.44667,1.16947,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,7479.97,0.80042,0.53982,1.21181,0.88984,0.88479,0.88826,0.59114,0.88194,0.4473,1.16551,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,7576.42,0.78361,0.52435,1.20435,0.89784,0.87347,0.89438,0.59337,0.87839,0.446,1.15792,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,7672.91,0.78821,0.52694,1.20512,0.89519,0.87812,0.90065,0.59402,0.87742,0.44434,1.15552,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,7769.63,0.78377,0.53144,1.2046,0.90589,0.8802,0.89841,0.59727,0.87643,0.43743,1.15168,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,7865.9,0.78755,0.5278,1.20521,0.879,0.88311,0.89727,0.59603,0.87624,0.44062,1.1546,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,7962.17,0.78361,0.52537,1.20037,0.90197,0.87031,0.89767,0.59877,0.87478,0.4421,1.15389,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,8058.65,0.77639,0.51987,1.19846,0.89893,0.87369,0.89786,0.60123,0.87645,0.44195,1.15713,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,8155.46,0.77512,0.5186,1.19911,0.88893,0.88358,0.90204,0.59959,0.878,0.44123,1.16167,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,8251.89,0.77009,0.51262,1.19435,0.92053,0.87486,0.90743,0.60077,0.87667,0.44479,1.16271,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,8348.24,0.76451,0.50954,1.1935,0.89496,0.88039,0.90502,0.59868,0.87674,0.4433,1.16314,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,8444.79,0.76278,0.51088,1.19233,0.89025,0.88887,0.90502,0.60291,0.8759,0.44056,1.16056,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,8541.38,0.75685,0.50663,1.18826,0.88968,0.88396,0.90371,0.60029,0.87197,0.43735,1.15578,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,8637.9,0.75606,0.50406,1.1883,0.89825,0.88113,0.90713,0.60235,0.87057,0.43759,1.15408,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,8734.59,0.7585,0.50192,1.18825,0.91462,0.88549,0.90928,0.60462,0.86624,0.43542,1.14835,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,8831.98,0.75478,0.40146,1.26577,0.9027,0.89161,0.90782,0.60742,0.86642,0.43884,1.15163,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,8928.22,0.74324,0.38572,1.25262,0.88701,0.88784,0.90194,0.60407,0.86774,0.43799,1.15473,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,9024.07,0.72904,0.37725,1.24364,0.90352,0.8814,0.9024,0.60681,0.86335,0.43431,1.15332,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,9120.27,0.72252,0.37336,1.23916,0.90507,0.8812,0.9064,0.61002,0.85998,0.43003,1.15062,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,9216.26,0.71459,0.37114,1.23969,0.90832,0.88252,0.90876,0.61352,0.85602,0.42679,1.14801,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,9312.58,0.71314,0.36882,1.23302,0.89453,0.89605,0.90873,0.61359,0.85577,0.4247,1.14809,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,9408.21,0.70593,0.36574,1.229,0.91483,0.88913,0.91028,0.61557,0.85409,0.42306,1.14645,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,9504.32,0.69801,0.35985,1.22366,0.91163,0.88998,0.91112,0.61769,0.85404,0.42204,1.1467,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,9600.2,0.69578,0.35875,1.21915,0.91252,0.88654,0.91082,0.61784,0.85344,0.42177,1.14689,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,9696.33,0.69017,0.35338,1.21546,0.92241,0.88513,0.91153,0.61739,0.85297,0.42174,1.14678,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
